Word_Positive,Word_Negative,Bigram_Positive,Bigram_Negative,Length
1014,957,17,0,93
219,307,12,0,33
2247,4303,0,32,103
385,92,0,0,3
1789,1201,138,11,114
357,797,0,0,33
189,97,0,0,30
1048,814,105,0,66
2119,1381,0,0,30
1617,3293,0,19,114
5339,5117,54,47,252
1141,1987,0,29,56
644,1137,0,0,61
355,2039,0,0,96
773,2026,0,0,70
722,843,0,0,123
3999,5377,36,13,258
81,325,0,0,21
1022,747,14,0,79
6017,9053,51,168,227
2109,3821,274,346,255
4530,7968,0,8,172
2752,4768,9,37,173
0,0,0,0,2
1037,2172,0,0,38
186,211,0,0,19
677,1514,0,23,29
113,299,0,0,42
1800,2779,247,281,313
1607,686,910,296,90
3073,3121,32,26,112
1990,3571,0,36,211
1532,2427,0,0,37
359,820,0,0,77
249,940,0,0,89
1074,2034,0,10,131
1320,497,0,0,21
1457,2231,13,68,122
1168,2289,7,22,112
731,863,63,33,62
2908,6161,23,129,254
1439,1799,0,0,40
4194,3750,70,90,191
1998,3012,0,0,90
1225,1401,24,17,51
2880,1664,49,0,40
1761,1538,0,0,217
257,264,0,0,23
5132,2933,31,14,123
5723,8292,7,0,170
1041,896,0,0,43
2664,2456,0,0,120
3124,3605,10,24,282
840,1736,0,0,39
369,328,0,0,46
1339,1395,449,374,177
2187,1819,162,188,67
6582,8406,15,33,130
1902,3741,0,27,73
1652,1548,0,0,171
0,0,0,0,1
1214,1502,24,17,49
2222,1839,68,0,36
2212,3446,0,17,172
1548,1696,180,251,168
3392,5953,0,103,284
1897,3330,0,0,179
2490,3365,35,56,103
2565,1293,13,0,85
2427,3889,12,44,55
3792,3373,28,9,231
3151,3079,15,17,104
952,1720,0,8,72
4205,3331,52,18,130
2270,3784,29,54,121
184,345,0,0,9
1965,2644,442,82,80
2092,3362,0,0,24
7445,6462,224,72,229
6079,5239,63,20,273
2161,2552,466,60,53
5823,6444,92,48,160
5087,3390,39,0,178
4177,3889,877,206,78
0,0,0,0,2
7551,9736,12,49,173
3021,4463,0,0,231
539,958,0,0,34
2333,1386,295,338,72
888,1196,0,0,45
1372,1147,442,47,18
3695,4237,12,8,284
344,832,0,8,38
9452,4958,99,12,333
1321,2951,0,27,84
8309,9031,17,28,262
1635,2747,114,269,46
0,0,0,0,27
4469,6246,8,56,288
0,0,0,0,3
0,0,0,0,2
5310,5020,25,21,248
1100,1429,0,0,27
7784,10245,363,435,318
1119,1175,7,0,65
742,573,0,0,120
1596,1100,0,0,80
751,1718,0,42,47
3264,3101,7,0,333
1933,3326,9,0,311
1891,2155,42,9,56
0,0,0,0,2
1367,1451,0,0,62
89,0,0,0,16
1102,1369,0,0,64
812,1673,0,9,79
857,1221,9,0,47
348,222,0,0,93
2053,3044,0,0,132
2101,4883,0,0,333
1447,990,0,0,100
226,410,0,0,32
2032,3174,0,35,89
2129,4580,39,85,201
7268,12267,15,170,251
3563,4688,27,10,121
0,0,0,0,2
915,436,0,0,29
1016,2423,0,10,67
2327,1624,461,96,76
29,387,0,8,64
1762,2885,0,103,69
3202,5949,46,68,141
1369,497,0,0,42
256,438,0,0,44
834,631,0,0,22
1372,1147,442,47,9
1384,2232,0,28,51
523,707,0,9,44
4366,9016,0,78,86
2298,1366,242,105,140
4107,2090,100,9,41
1171,1804,0,9,112
602,580,0,0,18
2655,2177,442,47,96
3714,4600,46,50,67
3725,6098,56,216,114
2009,2763,162,188,56
0,66,0,0,22
252,1027,0,0,9
2870,4193,8,41,65
812,1391,98,30,47
6567,9880,23,60,273
1203,3047,0,46,76
1617,1443,0,0,157
1721,5254,0,60,121
891,851,0,0,23
1450,235,0,0,9
1383,1050,27,0,46
999,2056,0,0,145
1474,1079,13,0,65
1652,4004,15,62,232
2874,4789,0,37,199
453,1588,0,12,40
1636,2539,0,0,244
0,0,0,0,4
97,183,0,0,28
1455,1230,274,338,150
1333,2214,13,85,113
1847,3322,0,17,163
0,92,0,0,18
1017,2934,0,625,293
2346,1209,12,9,53
3569,3121,374,164,273
1951,3854,0,0,24
1189,1619,12,12,112
3719,5752,163,222,297
7247,9237,94,135,267
1584,1676,0,0,94
1868,1309,0,0,31
557,72,0,0,7
210,1099,0,0,67
562,1602,0,31,58
481,375,0,0,80
150,658,0,0,47
1007,1251,0,0,31
1139,618,10,37,112
103,168,0,0,15
732,425,0,0,35
446,465,56,31,108
4060,7014,57,136,83
3108,1597,480,96,72
413,654,0,0,66
1781,2627,0,31,69
1320,497,0,0,9
413,271,0,0,62
3887,4949,274,338,201
1426,1282,209,241,70
144,63,0,0,57
2279,5024,0,82,160
1359,933,32,0,49
913,1964,122,315,197
1383,2779,0,0,103
687,282,15,0,69
2061,1685,286,338,98
1929,3360,0,59,184
442,403,0,0,68
663,1312,0,21,38
4091,4988,0,11,127
335,497,0,0,14
4794,6737,38,182,212
2397,3802,20,81,211
4325,6357,44,40,302
1040,2035,0,11,34
2886,3975,274,338,148
75,247,0,0,47
5198,5229,0,0,323
1456,766,42,0,252
7721,7240,1172,581,186
3158,2906,114,125,162
2708,4594,0,8,133
0,0,0,0,5
2967,4090,0,11,118
5931,8461,0,0,131
2639,1598,0,0,143
3430,3338,10,70,243
85,110,0,0,68
2621,2786,0,0,178
3749,6526,71,122,137
1949,3215,0,123,63
1927,2469,60,32,20
4470,6502,74,44,197
2643,2469,28,0,115
1665,2893,0,9,78
418,67,0,0,11
294,445,0,10,55
393,832,28,51,434
291,346,0,0,46
2773,5011,0,0,144
1359,3160,39,85,160
4107,4561,18,0,176
2522,4097,0,0,159
870,1427,7,10,31
7202,13593,47,229,269
4224,4493,41,0,158
2188,1643,15,0,101
2395,3454,29,54,256
2611,4393,125,381,210
8717,10694,138,89,291
704,1538,0,0,141
24,28,0,0,42
2711,1431,116,0,64
1879,996,9,37,13
3236,3970,25,22,250
7445,10641,190,341,206
0,62,0,0,12
3212,4046,0,0,123
2501,4285,31,56,60
3626,5675,24,50,255
12,0,0,0,34
7819,10873,0,0,312
1805,827,0,0,104
1372,1147,442,47,14
3266,1011,34,9,30
881,1345,0,0,27
1999,3009,0,0,124
10250,10871,50,118,222
0,0,0,0,20
2327,2080,62,0,31
47,0,0,0,19
1348,2366,0,0,39
2800,3344,0,8,113
1665,2621,114,269,305
613,672,0,0,283
1275,2326,202,267,47
1950,2587,21,0,103
1685,2780,0,0,88
405,359,0,0,52
7402,7029,977,347,154
1653,2958,0,0,173
89,0,0,0,18
3154,3455,500,47,65
8325,7379,98,49,281
1009,1708,15,27,182
2355,1857,213,251,85
569,769,9,0,84
3925,2888,184,188,158
2640,2835,470,132,49
558,600,15,12,47
1032,1070,0,0,48
502,1445,0,19,9
1674,2658,0,9,153
1933,1269,9,0,84
614,480,0,0,124
1772,1731,39,116,76
1969,2012,18,0,51
1777,2177,0,0,138
2368,1561,0,0,278
1176,1470,274,338,274
0,0,0,0,1
600,678,98,30,48
3877,4096,162,24,48
1916,2635,114,369,212
4654,5724,162,188,235
1283,825,0,0,88
3277,2900,412,186,38
6057,9579,10,120,162
610,600,0,0,49
551,823,0,0,34
2192,1192,291,338,28
1939,2170,0,0,122
3159,2748,94,11,101
111,855,0,0,12
2113,3158,274,354,194
0,0,0,0,33
511,457,0,0,67
438,1238,0,12,11
1821,2328,274,338,198
3156,2863,16,9,165
1333,894,21,0,44
1651,2806,0,0,139
2669,4575,9,37,104
390,427,0,0,47
1050,1790,0,0,84
10725,10282,72,11,322
1663,1888,0,0,140
235,234,0,0,24
581,231,24,0,39
2958,2320,174,188,88
1204,731,0,0,51
7460,12943,10,95,236
2483,3970,0,0,124
0,0,0,0,2
164,178,0,0,49
57,605,0,0,65
1437,1291,0,8,53
258,505,0,0,12
760,238,9,0,14
312,920,0,0,70
3289,5122,0,0,64
203,401,0,0,30
3423,1449,8,0,98
1786,2483,0,8,284
0,0,0,0,12
913,1802,0,0,212
1178,935,0,0,131
1325,403,10,0,73
1024,672,0,0,9
5594,8557,455,77,260
10651,8546,521,145,284
0,0,0,0,3
3110,2317,63,20,73
891,1678,0,0,42
14,0,0,0,3
2406,2268,20,64,107
85,27,0,0,14
2579,2472,9,0,81
2463,2901,11,20,84
4654,5066,30,37,265
2476,3874,123,293,223
0,0,0,0,20
3909,3952,295,338,266
3337,2621,453,96,56
494,3336,0,205,89
3270,5335,0,169,108
5017,7458,173,285,179
2313,4948,0,32,120
942,1386,0,0,98
829,1444,0,8,62
3771,4365,42,22,46
830,278,0,0,15
115,113,0,0,41
4757,5990,48,46,86
1845,1997,8,12,96
4028,5953,38,27,265
1825,552,0,0,118
1483,854,0,0,80
798,831,0,10,19
2128,1965,13,0,67
0,0,0,0,3
1491,2575,0,18,86
1239,2190,114,277,42
4431,6139,0,9,203
414,316,0,0,34
3824,3575,156,38,118
122,172,0,0,28
607,272,0,0,33
0,30,0,0,11
3903,4753,0,30,264
1921,1768,134,9,181
3171,5033,0,12,65
7595,7725,48,33,159
1785,2751,0,0,244
2181,1183,29,9,48
52,341,0,58,58
1032,705,0,0,54
857,2109,0,50,127
1219,1196,0,0,61
2824,2845,70,82,190
3209,4940,0,74,229
466,390,0,0,26
1458,1236,0,10,37
514,2121,9,20,112
3499,7555,9,71,183
577,1060,0,0,80
3609,5305,0,0,94
65,54,0,0,26
0,0,0,0,3
2922,2898,34,9,171
1818,2452,0,0,63
655,1573,0,0,158
1320,497,0,0,8
1250,1177,274,338,112
316,1234,0,0,21
4605,3420,123,27,201
446,1005,0,0,50
781,1904,0,0,23
125,595,0,0,40
250,748,0,0,26
2800,4792,0,11,275
5595,5655,75,0,288
243,347,0,0,89
2069,2253,173,188,154
5317,5464,140,101,237
376,305,0,0,23
1810,3136,114,381,222
1634,1007,0,0,24
1334,976,37,9,89
2746,3982,15,117,115
5513,4811,554,644,207
4184,7003,28,146,108
6373,10690,58,119,173
6340,10486,124,83,271
2681,2871,19,0,149
1828,3303,0,15,28
2755,2737,445,96,113
4324,4236,82,10,74
5826,8358,68,48,105
4518,7357,0,0,269
1462,1595,0,0,74
6624,6215,0,30,181
385,92,0,0,3
808,776,11,0,65
496,472,10,0,31
5300,5323,61,9,128
1164,2022,63,76,133
2750,2482,0,0,89
5617,5828,25,42,169
4454,2315,931,296,180
2992,2010,9,0,54
1644,1381,0,0,90
1172,1635,274,338,25
398,899,0,0,18
1401,1586,0,0,65
0,0,0,0,2
2122,813,62,42,133
1377,1823,0,13,57
430,844,0,0,26
597,679,8,0,38
224,488,0,0,34
2285,2359,274,354,167
3304,6806,8,41,98
19,0,0,0,26
3194,4238,0,8,284
4529,6791,251,330,322
50,0,0,0,11
975,1205,0,0,50
1305,1961,0,0,333
1429,1569,74,33,92
1581,3952,0,0,270
554,1276,114,269,187
528,882,0,0,59
578,343,0,0,66
1804,4504,0,208,102
3059,1927,14,0,88
1717,1941,22,0,112
2970,4431,18,42,112
2023,2295,290,338,92
336,384,0,0,49
2830,4278,0,40,153
1411,1429,0,0,96
4192,5478,20,64,276
565,867,0,8,49
770,467,12,0,59
4406,3134,92,0,129
2379,2707,114,54,149
224,418,0,0,4
735,555,0,0,49
1217,1300,0,0,41
927,2084,51,43,93
509,448,0,0,72
1465,1446,0,0,92
7370,10211,38,132,280
470,1064,0,0,35
1464,2179,21,50,78
1758,2425,0,114,43
7420,6024,40,32,201
1870,1632,23,15,151
3445,3750,918,296,46
1650,2302,0,44,280
1707,1187,0,0,137
1839,1743,0,0,50
2117,1658,0,0,127
1344,1158,30,14,70
0,0,0,0,1
378,742,0,0,34
1115,773,0,0,53
748,726,23,0,88
10672,8679,579,105,179
909,591,10,0,41
411,1081,0,0,62
824,700,0,0,25
1327,2060,0,0,79
2486,6235,0,134,79
2929,4504,0,53,256
1111,556,0,0,75
487,1365,0,0,89
1954,3501,24,102,57
1700,686,948,296,118
7684,5182,35,10,183
6345,4929,78,19,270
3967,4397,8,151,112
619,1534,0,0,84
3046,1832,910,296,41
949,2326,0,14,50
2335,1438,9,0,56
