Model,N,Precision,Recall,F1 Score,ROC AUC
XGBoost,100,0.7756286266924565,0.7689357622243528,0.772267693789119,0.78194910073215
Logistic Regression,100,0.751123595505618,0.6409395973154363,0.6916709777547853,0.7225908768724773
XGBoost,500,0.809570794277257,0.786673058485139,0.7979576951130561,0.8080515093574612
Logistic Regression,500,0.7760992716482331,0.6895973154362416,0.7302957228074629,0.7531062140592609
XGBoost,1000,0.8089559503528839,0.7967401725790988,0.8028015940103852,0.8116489196965313
Logistic Regression,1000,0.7785771382893685,0.7003835091083414,0.7374132492113564,0.7583888380716253
XGBoost,2000,0.822662478859628,0.8161553211888782,0.8193959812296956,0.8269906080093751
Logistic Regression,2000,0.7836538461538461,0.7032598274209012,0.7412834765032845,0.7621469265252981
